geneName	BALBc_rep3
Zc3h14	6512
Troap	12
Clca2	4
1810013L24Rik	1558
Srsf7	36853
Fignl2	0
Sema6a	52
Anapc15	1587
Misp3	0
Nmb	278
Tcerg1	11650
Zfp712	418
Fam129c	695
Atp5g3	15107
Pifo	0
Olfr1045	0
Olfr1049	0
Vsx1	1
Fyco1	1306
Tlr3	5
Olfr1444	0
Olfr150	0
Ifi44	0
Trafd1	1974
Erfl	2
Krt80	0
Armc8	2756
Ppil4	6832
C530005A16Rik	2
Katnbl1	2308
Gm21693	0
Spag9	1484
Gm5860	0
Taz	6440
Gfpt1	692
Abcc5	2032
Kcnmb4	35
Gm4013	23
Hpcal1	2372
Tbc1d31	1462
Tmem176b	35
Mir5110	11
Mir5108	0
Cyp3a13	0
Akap7	35
Ablim1	25805
Lcn5	0
Ulk1	2682
Cyp4b1	0
Golga3	4075
Mir1193	0
Wdyhv1	1821
Traf1	490
Atoh1	0
Rxra	0
Dapk3	2046
Mir7002	0
Mir6998	0
Ap3m2	1421
Sirt2	6685
Inhbc	25
Slit3	2
Cts3	0
Olfr74	0
Dcakd	1842
Vps35l	4572
Cyhr1	1287
Taf10	6622
Hagh	1456
Ogfod3	716
Syn1	0
Glyatl3	0
Slx	2
Ccl27a	0
Sqor	53
Fundc2	1881
Rab5if	8560
H1f5	10
Ankrd2	0
Pop4	2529
Carnmt1	333
Iqcm	0
Clcc1	4407
Magea2	0
Ilf3	12416
Tpd52l2	4546
Arhgap25	10431
Banf1	8198
Tbc1d23	2504
4930473A02Rik	3
Pard3	74
Rorc	61
Krtap4-6	0
1700017L05Rik	0
1700123J17Rik	19
Evi5l	2474
Pex5l	0
Mtmr1	4219
Mtor	2273
Zfp758	965
Plekhh2	2
Adgrl3	26
Golga5	5193
Plekhb1	11
Nufip1	2713
Gm9866	0
Smap1	1544
Tepp	0
Acox2	0
Hars2	2955
Gpa33	0
Sdhb	14493
Gmpr	0
Krt90	1
Me1	2
Klk11	0
Magt1	3229
Mcam	0
Pbld1	0
Tab2	1173
Mettl27	330
Trmt1	5925
Vps37c	1520
Sec23a	1614
Rara	2450
Med1	2873
Ap5b1	1358
Bag5	4126
Pdcd2l	2129
Ctcf	8320
Mnd1	311
Tktl1	39
Lix1	0
Ctnnbl1	11944
Snph	0
Raet1e	0
Ppm1m	2235
Prkar1a	71135
Slc27a3	7
Impdh2	7705
Tiprl	4607
Uaca	0
Smim31	0
Calca	0
Mir6402	0
Phf3	1986
F930015N05Rik	0
9330020H09Rik	253
Gm13884	0
Gm7443	0
Ube2q2	3333
Rfx3	1078
Bri3	18
Fbxo27	108
Eps15l1	3690
Tmprss15	0
Max	3234
Ttc8	65
Vti1b	2780
Cpsf3	8619
Nlgn1	2
Casq2	0
Pidd1	1944
Asb4	1
Orc4	4862
Mapkbp1	952
Mospd1	1517
Banf2	0
Dclk1	1
Gpcpd1	3280
Sinhcaf	2304
Acbd5	1751
Mir7073	0
Myo7a	167
4930548K13Rik	0
Luc7l2	1393
Dnah8	3400
Evc	2
Shroom2	0
1500009C09Rik	0
Kmt2e	8972
Setd5	1605
Pcyox1	1991
Arpp21	1377
Iyd	0
Mir7077	0
Smim4	868
Smc6	5967
Nsmf	3556
Hmbs	1699
Slc35b1	5590
Mir7081	0
Synj2	1779
Suds3	1715
Ptk2b	23010
Gfm2	3580
Rlim	3089
Ddt	1040
Epha3	1
Gatad2a	8320
Shc1	3158
Anks1b	7
Cdk6	388
Cdk5r2	0
Cdk5r1	0
Kdm1a	6579
Olfr192	0
Scaf4	7051
4930557J02Rik	0
6030466F02Rik	0
Plcxd2	276
Morc2a	5348
Atp6v1c2	5
C5ar1	3
Map1a	12
Gja5	1
Runx2	8
Gja3	1
Ackr3	0
Socs1	4274
Sort1	304
Rangrf	940
Phyhd1	221
Slc4a9	1
Specc1	198
Gtf2a2	4525
Deaf1	4769
Mtarc1	0
Set	27677
Glra3	0
Dnhd1	361
Tmem247	0
Pgpep1l	0
Notch3	0
Gtsf1l	0
Chml	588
Rnf212	0
Tceal8	218
Olfr935	0
Gm5087	1
Slco6b1	0
Ranbp3	8117
Parp6	4091
Gng10	7418
Mrps18b	1841
D16Ertd472e	3976
2310039H08Rik	1035
Rps10	4687
Arih1	3619
Dancr	915
9530026P05Rik	0
Itgal	42577
Mir6408	0
Sirt6	1198
Rgs12	2397
Gm10681	0
Hfe	0
Tdrd7	803
Mir1298	0
Ak2	10884
Znhit1	2394
Prx	287
4930509K18Rik	0
Zxdb	72
Alas2	50
Fiz1	4420
Doxl1	0
Serpinh1	0
Vmn2r65	0
Myh3	1
Grm5	0
Apol7e	26
Vill	3
1700123O12Rik	0
Ins2	0
Wnk1	1852
Tex14	125
Zbtb37	809
Egfem1	0
Eya1	3
Adgrg2	17
Nkain3	1
Cd2bp2	5161
Sapcd2	333
Kcng2	1
Tecr	10754
Asmt	0
Tfg	6247
Gm12530	0
A930017M01Rik	0
Trpm3	7
Trpc4	0
Gm14296	0
Mtarc2	6525
Itih5	8837
Adcy4	0
Mical1	9958
Zc3hav1l	445
Lrch4	0
Gbp5	0
Wnk2	35
Sec22a	648
Ahsa2	2858
Tfeb	584
Tgm1	0
Dynlt1f	60
D7Ertd443e	0
Tlcd2	1098
Bend5	2175
Cbwd1	885
Lrch2	8
Zdhhc6	3292
Cbx3	1892
Fndc4	73
Slc25a28	454
Gbp4	15388
Cdkl3	177
Mir6410	0
Etfrf1	1615
Gm10549	0
Atn1	128
Zfp111	16
Sema3b	0
Rbm43	1212
S100a3	17
Kif18b	171
Hsh2d	788
Sgsm2	326
Sem1	4652
Shd	5
Lcp1	246570
H2-Q7	0
Gjb5	0
Rnps1	4241
Gpr83	844
Cyp2d9	0
Rab23	112
Ext2	8817
Scin	9
Clec11a	47
Scg2	0
Map7d2	8
Tectb	0
Spata3	0
Ola1	4084
Lrrc46	1
Tmigd3	0
Dpep2	22
Slc25a51	5102
Ubald2	0
6720489N17Rik	241
Zfp703	79
Slc35g2	10
Clasp2	3427
Pak6	184
Smim19	591
Heph	0
Rhox2a	0
Cd209b	0
Prame	2
Mgam	13
Sh3d19	132
Dab2	2
Arhgap44	73
Ppp1r32	1
Tead3	0
Ctps2	9650
Gps1	14077
Cdh16	4
Shmt2	13748
Ncor1	12690
Dhrs3	194
Rs1	0
Rps7	8696
Klk5	0
Gm4719	0
D030068K23Rik	1
Gm21828	0
Gm15880	3
4930547E08Rik	0
Mpig6b	0
Lgi1	302
Cep131	1013
Masp1	13
Ascl1	0
Mas1	0
Mapkapk2	6636
Ppp2r5c	11374
Mir450b	0
Gm3448	0
Tbc1d21	0
Olfr125	0
Olfr113	0
Olfr122	0
Commd4	7918
Them5	0
Utp23	1214
Ppcs	3845
Mrpl19	2786
Hormad1	0
Tctn2	94
Tppp3	7
Ooep	16
U2surp	9681
Foxi1	0
Plekhj1	4310
Mir344-2	0
Mir465b-2	0
Mir465b-1	0
Cux1	9025
Gm45927	0
Mpv17	1310
Ankrd23	1385
Hsf3	15
Radil	0
Gm10653	6
Tubb2a-ps2	1
Nanog	0
Nit1	1792
Rnf25	1239
Tmem33	3894
Slc6a18	0
Cd300lg	0
Osgin1	0
1110017D15Rik	0
Krtap21-1	0
Olfr1215	0
Snora65	301
Olfr282	0
Olfr92	0
Olfr1241	0
Olfr1231	0
Olfr693	0
Olfr694	0
Nfix	2
Evi2b	0
Stk35	1085
Pex26	241
Stard7	8246
Stat5b	25775
Ubac1	2958
Stat5a	5573
Eva1c	0
Dab1	3
Gpx6	0
Clba1	15
Ifi27l2b	0
Mical3	214
Gm10516	0
Cilk1	1144
Slc38a10	11404
Zfp451	3230
Bloc1s4	1537
Abhd17c	1395
Acad10	1055
Snx10	16
Sh2d4a	0
Metrn	1700
Rab43	2453
Abcb8	2653
D14Ertd670e	0
Optn	0
Sidt2	16606
Pum1	8524
Oxr1	4744
Gm11545	0
Cyp3a59	0
Zfat	338
4933402J10Rik	0
Mecp2	1910
Efcab12	3
Klrb1	14
Gnb1l	920
Ap1b1	17185
Gm14308	0
Tbc1d4	264
B4galnt1	9808
Nat8f7	0
Oxtr	156
Prickle2	0
Gm2381	0
Gpr161	29
Gm4297	3
Gm2030	0
Gm5934	0
Gm10488	0
Carmil1	20
Mir3059	0
Myo1b	6
Rngtt	3588
Larp4b	5709
Sh2b3	4302
Gm7827	0
Ap4s1	2404
Ntng2	1
Stk26	21125
LOC666331	0
Mir297a-4	0
Mir6974	0
Ubap2l	21625
Tsen34	1722
Sct	0
Nup98	2405
Nbr1	5986
Fen1	5761
Xpo6	10076
Bak1	94
Mybl2	393
Vamp2	6163
Vamp1	13900
Ahi1	4155
Arpc4	17195
Ackr2	0
Agxt	0
Vps8	2966
H2-Ob	1520
Mapk10	2
Pccb	1563
Bpgm	3454
2310057M21Rik	2048
Ubr7	5093
Grifin	37
Lbh	606
Hspa13	1900
Tspyl4	1855
Atp12a	0
Cutc	495
Sprtn	164
Prkd2	13706
Proz	176
Ube2d2a	4517
Tdo2	48
Sult1b1	0
Polr3k	5258
Tsc22d4	16390
Asb3	1598
Mmp10	0
Gm14819	0
Wdr72	0
Eefsec	4681
Ccdc57	67
Arhgap4	8395
Mtf2	12356
Cxxc5	2412
Nmnat3	260
St3gal6	91
Rock1	8108
Atpif1	2544
Hyal1	152
Kitl	10
Krba1	4110
Gm4303	0
Pik3cd	27891
Gm16405	0
Nfe2l1	7411
Btbd6	2979
Gm16381	0
Lpp	29
Gucy2d	0
Wac	7551
Setdb1	3059
Chn2	22386
Rnpep	4226
Pcdh15	13
Kcnt1	0
2810459M11Rik	0
Gm10548	37
Yars2	2792
Nudt12os	0
Fam49b	12431
Gm15093	0
Cacna1g	5
Bcar1	2
Crhr2	0
Iapp	0
Elavl4	1
Gm19466	0
Gm4262	0
4930556M19Rik	6
1700026F02Rik	0
Mir7006	0
Kdm6a	6845
Mettl1	1222
Aanat	0
Dnajc2	8918
Mid1	27
Bcl11a	3
Tpx2	491
1700001G11Rik	40
Mad2l1bp	2589
Tars2	5625
Mrps34	2442
Pycard	2654
Ints12	2003
Mybphl	0
Trnau1ap	2723
Krt20	0
Rreb1	1180
Ipcef1	11543
Gnpda1	1822
Ksr1	329
Thbs3	1
Sart1	9376
Cuta	2536
Syt17	0
Amdhd2	2559
Dgkk	0
Gprasp1	3863
Zfp7	2474
Fam178b	5
Syce2	181
Tekt4	0
Ccl21d	0
Vezt	535
Stil	463
Tbl2	2474
Rrm2	1809
St6galnac2	300
St3gal1	630
Zfp317	2602
Pdia6	19352
Mrpl1	1874
Dcaf7	5855
Pdilt	0
Fendrr	0
Ccdc163	372
2410004B18Rik	1605
Disp3	2
Ccdc34	558
Rabggtb	2054
Mir17	5
Pex11b	2274
Dand5	140
Mir22hg	196
Mir467a-4	0
AU019990	4
Mrps12	2116
Exoc1	2773
4933417G07Rik	0
Gm10649	0
Nkx6-2	2
Lrrc75a	62
Slc23a2	3692
Atg13	4425
Gm13289	0
Setd2	4225
Nhsl1	730
Ctsj	0
Cops7a	5852
Cops6	8793
Rpl21	5686
Derl3	184
Kctd18	1588
D330050G23Rik	0
Inppl1	549
Trp63	0
Mocs2	1825
Rnf34	2658
Ttc39a	0
Tmc7	0
Nkd2	65
Matn2	0
Tmub1	709
Folh1	0
Stk32b	0
Sdf2l1	3044
Ulk2	2181
Rhbg	0
Gm14204	0
Gm19277	0
Mir6404	0
Ralgps2	1989
Vmn2r95	0
Tiam1	682
Ypel1	2110
Klhl22	3284
Ndrg2	413
Man2c1	1516
Gm14430	0
Setd6	3065
Sis	1
Porcn	0
Gm12250	1
Satb2	5
Mark3	3459
Itgb3	1469
Zkscan3	4132
Ripk4	138
Pde1a	0
Enpp4	1806
Gimap8	4121
Igsf1	5
Fbf1	3209
Atraid	2469
Mir496b	0
Dock9	2067
Wdr76	752
Crtac1	0
Gm38402	0
Paqr7	2387
Phf23	4174
Ms4a8a	0
Olfr1053	0
Tpm1	3545
Gramd4	19780
Polk	810
Syne1	3405
Dbi	1293
Daxx	4543
Cyp1a1	0
Cyp11b2	0
Cyp46a1	0
Oog3	0
Eif4ebp3	278
Mprip	2017
Mir6411	0
Grin3a	25
Epc1	2763
Dnm1l	6317
Exoc3l4	0
Ccdc121	0
Defb21	0
Klk1	0
Rfc1	4678
Rbp4	0
Rbp1	0
Gm1553	0
Esp16	2
Zfp850	742
Tnip1	2652
Smarcd1	4441
Kis2	0
Lpcat1	2094
Dnm1	0
Secisbp2l	1725
Rragd	193
Lrp8	425
Hsf4	9
Ampd3	85
Mgst2	2992
Sh3bp1	7392
Usf1	6644
Wdr44	2227
Adamts10	3450
Col26a1	0
C2cd6	1
Gm27775	0
Mir24-1	0
Itpa	1271
Gm2026	0
Rint1	1899
Vasp	11107
Pla2g4a	178
Igfbp7	0
Gdf5	0
Rgl2	9320
Ptpra	4285
Rabggta	4115
Ccdc186	1914
Slc16a11	68
Timm10b	3439
Arvcf	1229
Syt8	0
Kcnj15	1
Palld	76
Csde1	14684
Dctn6	8405
Slc26a1	6
Fgd4	13
Tpk1	500
Mgme1	1144
St7	1552
Azin2	0
Rgs21	0
Ddit3	2116
Ltbp1	4
Cc2d2a	0
Dmp1	1
Gpr135	0
Ffar4	0
Aida	647
Mir6418	0
A730020M07Rik	0
Homer3	376
Hint3	359
Etfdh	3216
Alg6	297
Slc44a5	0
Tspan2	0
Rufy3	549
Als2	3910
Vgll1	0
Nus1	1537
Cttnbp2nl	0
Adamts18	0
Il19	0
Asb18	0
Mettl18	631
Zfp819	0
Tm4sf1	7
Ubap1	4918
1700049E22Rik	1
A730008H23Rik	1
Iqch	1
Slc2a4rg-ps	1043
Retreg1	4458
A330048O09Rik	0
Fhl1	0
Npbwr1	0
Hnrnpf	21087
Sfxn4	51
Sfxn3	7725
2310057N15Rik	0
Camsap2	1530
A930033H14Rik	0
Psmc5	11337
Fli1	491
Peg12	0
Mlip	0
Ptx4	0
Cldn10	102
Rad18	2170
Mrpl53	1517
Tspan11	11
H2al2a	0
Nadsyn1	2049
Trim42	0
Lrrc40	2876
Spag16	161
Gvin1	0
Hmx1	1
Cxcl11	0
4933439C10Rik	653
Pdcd4	5835
Pik3c2g	5
Krtap4-9	0
Zeb2	326
BC031181	6558
Scrt2	0
Cyp39a1	108
Rpap3	3717
Iltifb	0
Pmfbp1	1
Armcx3	842
Ccdc153	0
Lama1	1
Fanca	210
Naa30	2216
Ovch2	0
Nkg7	721
Rap1gap	6
Chchd6	525
Olfr78	0
Zfp57	1
Rapgef4	1
Zbed4	920
Gtf2h3	4351
Fcgrt	3
Mapk1	16531
Ahcyl1	6355
Cox7b2	0
Rgs17	2
Mzf1	40
Cdk2ap1	221
Adam34	3
Srcin1	1
Nphs1	0
Tsnaxip1	1
Phyh	2951
Vdac1	5857
Grb2	8909
Pax7	0
Elane	0
Zcchc18	216
Smarcd3	8
Khdc3	0
Rab5a	4341
Slc25a23	705
Mir6975	1
Olfr15	0
Cd68	150
Sh3kbp1	19303
Mir6980	0
