geneName	BALBc_rep2
Zc3h14	6149
Troap	0
Clca2	0
1810013L24Rik	1572
Srsf7	31410
Fignl2	0
Sema6a	3
Anapc15	1701
Misp3	0
Nmb	188
Tcerg1	9662
Zfp712	0
Fam129c	1457
Atp5g3	11601
Pifo	0
Olfr1045	0
Olfr1049	0
Vsx1	1
Fyco1	2683
Tlr3	0
Olfr1444	260
Olfr150	0
Ifi44	0
Trafd1	1954
Erfl	0
Krt80	0
Armc8	1934
Ppil4	4703
C530005A16Rik	288
Katnbl1	1278
Gm21693	0
Spag9	1548
Gm5860	0
Taz	6060
Gfpt1	1122
Abcc5	775
Kcnmb4	43
Gm4013	27
Hpcal1	2907
Tbc1d31	179
Tmem176b	0
Mir5110	0
Mir5108	0
Cyp3a13	0
Akap7	0
Ablim1	27029
Lcn5	0
Ulk1	2028
Cyp4b1	0
Golga3	2810
Mir1193	0
Wdyhv1	1345
Traf1	185
Atoh1	52
Rxra	0
Dapk3	1254
Mir7002	0
Mir6998	0
Ap3m2	1094
Sirt2	6481
Inhbc	0
Slit3	0
Cts3	0
Olfr74	0
Dcakd	1296
Vps35l	5226
Cyhr1	1431
Taf10	3704
Hagh	1355
Ogfod3	826
Syn1	2
Glyatl3	0
Slx	0
Ccl27a	0
Sqor	0
Fundc2	1207
Rab5if	8271
H1f5	0
Ankrd2	1
Pop4	1938
Carnmt1	283
Iqcm	0
Clcc1	1149
Magea2	0
Ilf3	11787
Tpd52l2	2631
Arhgap25	10503
Banf1	5438
Tbc1d23	720
4930473A02Rik	51
Pard3	37
Rorc	643
Krtap4-6	0
1700017L05Rik	0
1700123J17Rik	15
Evi5l	5648
Pex5l	0
Mtmr1	4105
Mtor	3659
Zfp758	1489
Plekhh2	0
Adgrl3	8
Golga5	1885
Plekhb1	0
Nufip1	1820
Gm9866	0
Smap1	1518
Tepp	0
Acox2	2
Hars2	2752
Gpa33	0
Sdhb	13208
Gmpr	32
Krt90	0
Me1	0
Klk11	0
Magt1	3847
Mcam	551
Pbld1	0
Tab2	213
Mettl27	0
Trmt1	3385
Vps37c	3176
Sec23a	2751
Rara	3421
Med1	2571
Ap5b1	762
Bag5	3397
Pdcd2l	944
Ctcf	6711
Mnd1	0
Tktl1	0
Lix1	0
Ctnnbl1	8643
Snph	0
Raet1e	0
Ppm1m	3164
Prkar1a	56713
Slc27a3	0
Impdh2	10990
Tiprl	2987
Uaca	1
Smim31	0
Calca	0
Mir6402	0
Phf3	1597
F930015N05Rik	0
9330020H09Rik	25
Gm13884	0
Gm7443	1
Ube2q2	3627
Rfx3	2607
Bri3	17
Fbxo27	0
Eps15l1	3284
Tmprss15	0
Max	1522
Ttc8	0
Vti1b	3258
Cpsf3	6466
Nlgn1	0
Casq2	0
Pidd1	290
Asb4	0
Orc4	3105
Mapkbp1	1
Mospd1	1194
Banf2	0
Dclk1	0
Gpcpd1	1713
Sinhcaf	1783
Acbd5	642
Mir7073	0
Myo7a	0
4930548K13Rik	0
Luc7l2	1191
Dnah8	5360
Evc	0
Shroom2	0
1500009C09Rik	0
Kmt2e	6754
Setd5	2533
Pcyox1	1174
Arpp21	2466
Iyd	0
Mir7077	0
Smim4	339
Smc6	10511
Nsmf	3094
Hmbs	1434
Slc35b1	5263
Mir7081	0
Synj2	3074
Suds3	1441
Ptk2b	28746
Gfm2	1188
Rlim	4816
Ddt	1046
Epha3	0
Gatad2a	8474
Shc1	2756
Anks1b	0
Cdk6	363
Cdk5r2	0
Cdk5r1	0
Kdm1a	5072
Olfr192	0
Scaf4	7167
4930557J02Rik	0
6030466F02Rik	0
Plcxd2	23
Morc2a	3276
Atp6v1c2	0
C5ar1	0
Map1a	42
Gja5	3
Runx2	17
Gja3	0
Ackr3	0
Socs1	2586
Sort1	0
Rangrf	309
Phyhd1	0
Slc4a9	0
Specc1	0
Gtf2a2	2018
Deaf1	2366
Mtarc1	0
Set	24787
Glra3	0
Dnhd1	4
Tmem247	0
Pgpep1l	0
Notch3	1
Gtsf1l	0
Chml	1060
Rnf212	0
Tceal8	312
Olfr935	0
Gm5087	0
Slco6b1	0
Ranbp3	6447
Parp6	2471
Gng10	5773
Mrps18b	1616
D16Ertd472e	2406
2310039H08Rik	536
Rps10	3247
Arih1	1818
Dancr	815
9530026P05Rik	0
Itgal	42718
Mir6408	0
Sirt6	956
Rgs12	975
Gm10681	0
Hfe	0
Tdrd7	565
Mir1298	0
Ak2	5220
Znhit1	1935
Prx	0
